#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 274441:4990 | 06/05/16 22:13:06 | 431  | 431  | 62207460.096   | 60183496.036  |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 96720772.040   | 93574690.546  |
| 274954:5005 | 06/11/16 09:40:51 | 20   | 20   | 1078767.139    | 897799.397    |
| 274955:5005 | 06/11/16 09:52:09 | 91   | 91   | 4657702.586    | 4443233.074   |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | 1192 | 189731596.103  | 181431363.788 |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | 1003 | 128519414.433  | 119710582.328 |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 5423777.377    | 4085336.529   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 95968263.054   | 93000004.542  |
| 274998:5017 | 06/13/16 04:19:54 | 718  | 718  | 112090743.633  | 106112171.450 |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | 1241 | 159419227.155  | 153920392.888 |
| 275000:5017 | 06/13/16 17:15:34 | 136  | 136  | 15484716.367   | 14988515.840  |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 193981569.409  | 188926990.292 |
| 275059:5020 | 06/14/16 16:49:52 | 37   | 37   | 6209491.804    | 5628871.475   |
| 275066:5020 | 06/14/16 17:45:35 | 96   | 96   | 17724066.938   | 16845775.800  |
| 275067:5020 | 06/14/16 18:28:40 | 392  | 392  | 68124196.686   | 65634602.593  |
| 275068:5020 | 06/14/16 21:05:49 | 915  | 915  | 137451208.618  | 132159795.371 |
| 275073:5020 | 06/15/16 03:32:47 | 517  | 517  | 66019714.857   | 63689866.185  |
| 275074:5020 | 06/15/16 06:56:59 | 646  | 646  | 73571498.657   | 71277972.080  |
| 275124:5021 | 06/15/16 17:50:25 | 325  | 325  | 54499334.116   | 52047999.273  |
| 275125:5021 | 06/15/16 20:00:23 | 989  | 989  | 145476349.583  | 139253143.583 |
| 275282:5024 | 06/17/16 00:06:15 | 90   | 90   | 14491574.799   | 13734322.111  |
| 275283:5024 | 06/17/16 00:43:12 | 132  | 132  | 21723072.437   | 20684663.649  |
| 275284:5024 | 06/17/16 01:36:55 | 74   | 74   | 11916214.598   | 11475678.594  |
| 275290:5024 | 06/17/16 03:58:56 | 48   | 48   | 7141790.387    | 2485097.921   |
| 275291:5024 | 06/17/16 04:28:36 | 347  | 347  | 49516930.861   | 47939739.964  |
| 275292:5024 | 06/17/16 06:46:48 | 121  | 121  | 15298942.878   | 14580955.535  |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 24243108.910   | 23421902.756  |
| 275309:5026 | 06/17/16 13:48:15 | 563  | 563  | 79593917.391   | 76684705.667  |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | 1929 | 216049009.634  | 209464152.721 |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 104238465.886  | 101754737.472 |
| 275319:5027 | 06/18/16 18:56:15 | 142  | 142  | 23705499.463   | 22486476.501  |
| 275337:5027 | 06/18/16 21:26:04 | 427  | 427  | 65811603.432   | 63197428.797  |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 71976424.675   | 69650998.353  |
