#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 280330:5287 | 09/08/16 08:46:53 | 857  | 857  | 194063397.270  | 186895902.449 |
| 280349:5287 | 09/08/16 14:27:23 | 620  | 620  | 107704270.866  | 104169356.996 |
| 280363:5287 | 09/08/16 18:47:24 | 359  | 359  | 51480198.339   | 49786726.911  |
| 280364:5287 | 09/08/16 21:09:58 | 1349 | 1349 | 159272360.712  | 153699080.967 |
| 280383:5288 | 09/09/16 08:41:14 | 2    | 2    | 552472.407     | 250567.877    |
| 280384:5288 | 09/09/16 08:49:13 | 33   | 33   | 8442439.047    | 7847281.742   |
| 280385:5288 | 09/09/16 09:11:36 | 2012 | 2012 | 379054340.820  | 365360781.374 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 70   | 42683 | 42683 | 7832176553.052    | 7544015569.439   |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
